Vivado Simulator 2020.2
Time resolution is 1 ps
time=   0, clock=0, Rx=xx, we=0, te=0, oe=0, wptr=0, tptr=0, min_state=000, tb_reg=000,A_in=00000000,P_in=11111111,plabels=00000000,Dx=0, ns=0000001
time=  20, clock=1, Rx=xx, we=0, te=0, oe=0, wptr=0, tptr=0, min_state=000, tb_reg=000,A_in=00000000,P_in=11111111,plabels=00000000,Dx=0, ns=0000001
time=  40, clock=0, Rx=00, we=0, te=0, oe=0, wptr=0, tptr=0, min_state=000, tb_reg=000,A_in=00000000,P_in=11111111,plabels=00000000,Dx=0, ns=0000001
time=  60, clock=1, Rx=00, we=0, te=0, oe=0, wptr=0, tptr=0, min_state=000, tb_reg=000,A_in=00000000,P_in=11111111,plabels=00000000,Dx=0, ns=0000010
time=  80, clock=0, Rx=00, we=0, te=0, oe=0, wptr=0, tptr=0, min_state=000, tb_reg=000,A_in=00000000,P_in=11111111,plabels=00000000,Dx=0, ns=0000010
time= 100, clock=1, Rx=00, we=0, te=0, oe=0, wptr=0, tptr=0, min_state=000, tb_reg=000,A_in=00000000,P_in=11111111,plabels=00000000,Dx=0, ns=0000100
time= 120, clock=0, Rx=00, we=0, te=0, oe=0, wptr=0, tptr=0, min_state=000, tb_reg=000,A_in=00000000,P_in=11111111,plabels=00000000,Dx=0, ns=0000100
time= 140, clock=1, Rx=00, we=0, te=0, oe=0, wptr=0, tptr=0, min_state=000, tb_reg=000,A_in=00000000,P_in=11111111,plabels=00000000,Dx=0, ns=0001000
time= 160, clock=0, Rx=11, we=0, te=0, oe=0, wptr=0, tptr=0, min_state=000, tb_reg=000,A_in=00000000,P_in=11111111,plabels=00000000,Dx=0, ns=0001000
time= 180, clock=1, Rx=11, we=1, te=0, oe=0, wptr=1, tptr=0, min_state=000, tb_reg=000,A_in=02ffffff,P_in=00000000,plabels=00000000,Dx=0, ns=0000010
time= 200, clock=0, Rx=11, we=1, te=0, oe=0, wptr=1, tptr=0, min_state=000, tb_reg=000,A_in=02ffffff,P_in=00000000,plabels=00000000,Dx=0, ns=0000010
time= 220, clock=1, Rx=11, we=0, te=0, oe=0, wptr=1, tptr=0, min_state=000, tb_reg=000,A_in=02ffffff,P_in=00000000,plabels=00000000,Dx=0, ns=0000100
time= 240, clock=0, Rx=11, we=0, te=0, oe=0, wptr=1, tptr=0, min_state=000, tb_reg=000,A_in=02ffffff,P_in=00000000,plabels=00000000,Dx=0, ns=0000100
time= 260, clock=1, Rx=11, we=0, te=0, oe=0, wptr=1, tptr=0, min_state=000, tb_reg=000,A_in=02ffffff,P_in=00000000,plabels=00000000,Dx=0, ns=0001000
time= 280, clock=0, Rx=10, we=0, te=0, oe=0, wptr=1, tptr=0, min_state=000, tb_reg=000,A_in=02ffffff,P_in=00000000,plabels=00000000,Dx=0, ns=0001000
time= 300, clock=1, Rx=10, we=1, te=0, oe=0, wptr=2, tptr=0, min_state=001, tb_reg=000,A_in=2033ffff,P_in=00000000,plabels=00000000,Dx=0, ns=0000010
time= 320, clock=0, Rx=10, we=1, te=0, oe=0, wptr=2, tptr=0, min_state=001, tb_reg=000,A_in=2033ffff,P_in=00000000,plabels=00000000,Dx=0, ns=0000010
